Pig.ID,Treatment,DPI,DPV,Exposed,wvELISA,IFA,VNResult
7361,RPAdj/C,5,48,POS,2.65,13.32192809,11.32192809
7366,RPAdj/C,5,48,POS,2.751,12.32192809,11.32192809
7377,RPAdj/C,5,48,POS,3.428,14.32192809,14.32192809
7379,RPAdj/C,5,48,POS,3.207,15.32192809,13.32192809
8158,Control,0,0,NEG,,0,0
8188,Control,0,0,NEG,,0,0
8172,PPIV (17-IA),0,0,NEG,,0,0
8183,PPIV (17-IA),0,0,NEG,,0,0
8192,PPIV (17-IA),0,0,NEG,,0,0
8170,PPIV (16-MN),0,0,NEG,,0,0
8194,PPIV (16-MN),0,0,NEG,,0,0
8199,PPIV (16-MN),0,0,NEG,,0,0
8158,Control,14,14,NEG,0.056514914,0,0
8188,Control,14,14,NEG,0.009419152,0,0
8172,PPIV-1(IA17),14,14,POS,1.849293564,9.321928095,6.321928095
8183,PPIV-1(IA17),14,14,POS,0.832025118,7.321928095,7.321928095
8192,PPIV-1(IA17),14,14,POS,1.087912088,9.321928095,7.321928095
8170,PPIV-1(MN-16),14,14,POS,0.130298273,6.321928095,7.321928095
8194,PPIV-1(MN-16),14,14,POS,0.970172684,7.321928095,7.321928095
8199,PPIV-1(MN-16),14,14,POS,0.42700157,6.321928095,6.321928095
8158,Control,17,17,NEG,0.034536892,0,0
8188,Control,17,17,NEG,0.007849294,0,0
8172,PPIV-1(IA17),17,17,POS,2.135007849,9.321928095,5.321928095
8183,PPIV-1(IA17),17,17,POS,1.152276295,8.321928095,5.321928095
8192,PPIV-1(IA17),17,17,POS,1.692307692,9.321928095,6.321928095
8170,PPIV-1(MN-16),17,17,POS,0.30455259,5.321928095,6.321928095
8194,PPIV-1(MN-16),17,17,POS,0.93877551,7.321928095,6.321928095
8199,PPIV-1(MN-16),17,17,POS,0.701726845,6.321928095,5.321928095
8158,Control,21,21,NEG,0.051805338,0,0
8188,Control,21,21,NEG,0.029827316,0,0
8172,PPIV-1(IA17),21,21,POS,2.4144427,9.321928095,6.321928095
8183,PPIV-1(IA17),21,21,POS,1.400313972,8.321928095,6.321928095
8192,PPIV-1(IA17),21,21,POS,2.135007849,9.321928095,6.321928095
8170,PPIV-1(MN-16),21,21,POS,0.69544741,5.321928095,6.321928095
8194,PPIV-1(MN-16),21,21,POS,1.064364207,7.321928095,5.321928095
8199,PPIV-1(MN-16),21,21,POS,0.982731554,5.321928095,5.321928095
8158,Control,24,24,NEG,0.043956044,0,0
8188,Control,24,24,NEG,0.037676609,0,0
8172,PPIV-1(IA17),24,24,POS,2.442700157,8.321928095,6.321928095
8183,PPIV-1(IA17),24,24,POS,1.436420722,8.321928095,7.321928095
8192,PPIV-1(IA17),24,24,POS,2.494505495,9.321928095,6.321928095
8170,PPIV-1(MN-16),24,24,POS,0.989010989,7.321928095,6.321928095
8194,PPIV-1(MN-16),24,24,POS,1.1711146,7.321928095,5.321928095
8199,PPIV-1(MN-16),24,24,POS,0.934065934,7.321928095,5.321928095
8158,Control,28,28,NEG,0.040816327,0,0
8188,Control,28,28,NEG,0.01255887,0,0
8172,PPIV-1(IA17),28,28,POS,2.301412873,8.321928095,4.321928095
8183,PPIV-1(IA17),28,28,POS,1.387755102,7.321928095,5.321928095
8192,PPIV-1(IA17),28,28,POS,1.015698587,8.321928095,6.321928095
8170,PPIV-1(MN-16),28,28,POS,2.265306122,7.321928095,5.321928095
8194,PPIV-1(MN-16),28,28,POS,1.326530612,7.321928095,5.321928095
8199,PPIV-1(MN-16),28,28,POS,0.822605965,6.321928095,4.321928095
86,CHALLENGE,0,0,POS,-0.031313131,0,0
87,CHALLENGE,0,0,POS,0.029292929,0,0
88,CONTROL,0,0,NEG,-0.005050505,0,0
89,CHALLENGE,0,0,POS,0.027272727,0,0
90,CHALLENGE,0,0,POS,0,0,0
91,CHALLENGE,0,0,POS,0.043434343,0,0
92,CONTROL,0,0,NEG,0.11010101,0,0
93,CHALLENGE,0,0,POS,0.135353535,0,0
94,CONTROL,0,0,NEG,-0.013131313,0,0
95,CHALLENGE,0,0,POS,0.035353535,0,0
96,CONTROL,0,0,NEG,0.044444444,0,0
97,CHALLENGE,0,0,POS,0.037373737,0,0
98,CHALLENGE,0,0,POS,-0.007070707,0,0
99,CHALLENGE,0,0,POS,0.021212121,0,0
90,CHALLENGE,13,13,POS,1.348484848,8.321928095,6.321928095
92,CONTROL,13,13,NEG,-0.007070707,0,0
93,CHALLENGE,13,13,POS,0.545454545,7.321928095,7.321928095
94,CONTROL,13,13,NEG,0.150505051,0,0
98,CHALLENGE,13,13,POS,0.480808081,7.321928095,6.321928095
90,CHALLENGE,21,21,POS,2.064646465,9.321928095,8.321928095
92,CONTROL,21,21,NEG,-0.011111111,0,0
93,CHALLENGE,21,21,POS,1.946464646,8.321928095,6.321928095
94,CONTROL,21,21,NEG,0.041414141,0,0
98,CHALLENGE,21,21,POS,1.677777778,9.321928095,7.321928095
